epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,59.1926,0.33796,0.28072,0.54303,0.89021,0.99422,1,0.995,0.97989,0.99422,1,0.995,0.97989,0.19518,0.32008,0.5169,0.74543,0.0009506,0.0009506,0.0009506
55,60.1904,0.32582,0.29603,0.54061,0.88973,0.9942,1,0.995,0.97827,0.9942,1,0.995,0.995,0.2132,0.24917,0.50775,0.75692,0.0009308,0.0009308,0.0009308
56,61.1585,0.31599,0.28633,0.5361,0.89941,0.9942,1,0.995,0.97827,0.9942,1,0.995,0.995,0.2132,0.24917,0.50775,0.75692,0.000911,0.000911,0.000911
57,62.1614,0.31685,0.38353,0.57437,0.90953,0.99418,1,0.995,0.97208,0.99418,1,0.995,0.995,0.22757,0.21914,0.48822,0.76487,0.0008912,0.0008912,0.0008912
58,63.1339,0.30428,0.27133,0.55777,0.89716,0.99418,1,0.995,0.97208,0.99418,1,0.995,0.995,0.22757,0.21914,0.48822,0.76487,0.0008714,0.0008714,0.0008714
59,64.1319,0.31116,0.25468,0.55135,0.91352,0.99414,1,0.995,0.995,0.99414,1,0.995,0.995,0.25411,0.22273,0.46526,0.78214,0.0008516,0.0008516,0.0008516
60,65.1388,0.31637,0.29858,0.53138,0.87119,0.99414,1,0.995,0.995,0.99414,1,0.995,0.995,0.25411,0.22273,0.46526,0.78214,0.0008318,0.0008318,0.0008318
61,66.112,0.28858,0.25713,0.51908,0.87594,0.99405,1,0.995,0.995,0.99405,1,0.995,0.995,0.25617,0.22866,0.50206,0.7737,0.000812,0.000812,0.000812
62,67.0962,0.26118,0.22819,0.54864,0.86945,0.99405,1,0.995,0.995,0.99405,1,0.995,0.995,0.25617,0.22866,0.50206,0.7737,0.0007922,0.0007922,0.0007922
63,68.1025,0.30174,0.23244,0.53161,0.8796,0.99409,1,0.995,0.97514,0.99409,1,0.995,0.995,0.21787,0.23571,0.48939,0.75126,0.0007724,0.0007724,0.0007724
64,69.0645,0.26166,0.26824,0.49638,0.8829,0.99409,1,0.995,0.97514,0.99409,1,0.995,0.995,0.21787,0.23571,0.48939,0.75126,0.0007526,0.0007526,0.0007526
65,70.0972,0.24425,0.26536,0.50892,0.81801,0.99398,1,0.995,0.995,0.99398,1,0.995,0.995,0.20518,0.23515,0.47873,0.743,0.0007328,0.0007328,0.0007328
66,71.0885,0.27681,0.26481,0.51511,0.88293,0.99398,1,0.995,0.995,0.99398,1,0.995,0.995,0.20518,0.23515,0.47873,0.743,0.000713,0.000713,0.000713
67,72.1,0.27204,0.2452,0.47675,0.87097,0.98738,1,0.995,0.995,0.98738,1,0.995,0.995,0.20406,0.22783,0.56668,0.75098,0.0006932,0.0006932,0.0006932
68,73.0863,0.26043,0.2146,0.48835,0.86757,0.98738,1,0.995,0.995,0.98738,1,0.995,0.995,0.20406,0.22783,0.56668,0.75098,0.0006734,0.0006734,0.0006734
69,74.0692,0.25848,0.29059,0.458,0.87023,0.99413,1,0.995,0.995,0.99413,1,0.995,0.995,0.16885,0.21872,0.52217,0.74422,0.0006536,0.0006536,0.0006536
70,75.0773,0.27475,0.25236,0.47228,0.85393,0.99413,1,0.995,0.995,0.99413,1,0.995,0.995,0.16885,0.21872,0.52217,0.74422,0.0006338,0.0006338,0.0006338
